,Q,R,S
0,-296.631,18.369,-346.631
1,954.369,1154.369,1110.369
2,-477.631,155.369,-472.631
3,62.369,300.369,300.369
4,-18.631,3952.369,-520.631
5,795.369,971.369,773.369
6,-451.631,-226.631,-386.631
7,-117.631,95.369,95.369
8,-189.631,32.369,-210.631
9,-21.631,-17.631,-17.631
10,-98.631,174.369,174.369
11,210.369,567.369,182.369
12,-806.631,246.369,64.369
13,-233.631,226.369,-201.631
14,-17.631,285.369,-0.6310000000000002
15,-93.631,220.369,220.369
16,-63.631,150.369,-32.631
17,-55.631,310.369,-17.631
18,-318.631,173.369,-255.631
19,-239.631,501.369,102.369
20,-76.631,93.369,93.369
21,-7.631,299.369,-326.631
22,178.369,424.369,55.369
23,-74.631,328.369,-141.631
24,-98.631,256.369,-70.631
25,-85.631,268.369,-133.631
26,-27.631,133.369,133.369
27,-81.631,98.369,98.369
28,64.369,116.369,116.369
29,-67.631,288.369,-128.631
30,-36.631,334.369,10.369
31,-53.631,340.369,-182.631
32,-88.631,275.369,-154.631
33,-108.631,235.369,-84.631
34,-127.631,324.369,-161.631
35,-24.631,482.369,-8.631
36,-30.631,318.369,-59.631
37,-182.631,298.369,38.369
38,-87.631,139.369,139.369
39,-88.631,387.369,-68.631
40,35.369,376.369,2.3689999999999998
41,-25.631,340.369,340.369
42,-96.37566666666666,652.6243333333333,-94.37566666666666
43,42.62433333333333,401.6243333333333,401.6243333333333
44,-515.3756666666667,275.6243333333333,-410.3756666666667
45,149.62433333333334,1541.6243333333334,285.6243333333333
46,283.6243333333333,1654.6243333333334,591.6243333333333
47,-522.3756666666667,-52.37566666666667,-351.3756666666667
48,-201.37566666666666,678.6243333333333,-144.37566666666666
49,83.62433333333334,873.6243333333333,873.6243333333333
50,-419.3756666666667,999.6243333333333,396.6243333333333
51,190.62433333333334,2742.624333333333,-785.3756666666667
52,-214.37566666666666,1643.6243333333334,-489.3756666666667
53,-489.3756666666667,191.62433333333334,-537.3756666666667
54,160.62433333333334,166.62433333333334,161.62433333333334
55,9.624333333333333,856.6243333333333,99.62433333333334
56,234.62433333333334,436.6243333333333,416.6243333333333
57,-217.37566666666666,634.6243333333333,-222.37566666666666
58,-132.37566666666666,273.6243333333333,273.6243333333333
59,-172.37566666666666,673.6243333333333,-178.37566666666666
60,-160.37566666666666,208.62433333333334,208.62433333333334
61,-2.3756666666666675,847.6243333333333,-138.37566666666666
62,-82.37566666666666,222.62433333333334,222.62433333333334
63,-108.37566666666666,665.6243333333333,-155.37566666666666
64,-140.37566666666666,433.6243333333333,15.624333333333333
65,-34.37566666666667,599.6243333333333,-47.37566666666667
66,-58.37566666666667,247.62433333333334,247.62433333333334
67,-55.37566666666667,727.6243333333333,-62.37566666666667
68,15.624333333333333,401.6243333333333,401.6243333333333
69,-10.375666666666667,841.6243333333333,54.62433333333333
70,-262.3756666666667,710.6243333333333,-930.3756666666667
71,-868.3756666666667,-24.375666666666667,-601.3756666666667
72,-601.3756666666667,451.6243333333333,287.6243333333333
73,-132.37566666666666,641.6243333333333,-119.37566666666666
74,-111.37566666666666,268.6243333333333,268.6243333333333
75,-0.3756666666666675,791.6243333333333,-148.37566666666666
76,-148.37566666666666,295.6243333333333,-62.37566666666667
77,-70.37566666666666,1502.6243333333334,1502.6243333333334
78,-1717.3756666666666,-1190.3756666666666,-1811.3756666666666
79,151.62433333333334,899.6243333333333,17.624333333333333
80,-7.3756666666666675,285.6243333333333,285.6243333333333
81,16.624333333333333,850.6243333333333,38.62433333333333
82,286.6243333333333,1315.6243333333334,-90.37566666666666
83,-1.3756666666666675,833.6243333333333,-108.37566666666666
84,47.62433333333333,318.6243333333333,318.6243333333333
85,60.62433333333333,712.6243333333333,-271.3756666666667
86,-414.3756666666667,62.62433333333333,-500.3756666666667
87,-414.3756666666667,-168.37566666666666,-423.3756666666667
88,-178.37566666666666,1562.6243333333334,149.62433333333334
89,-1488.3756666666666,1977.6243333333334,-708.3756666666667
90,-1344.3756666666666,2292.624333333333,-178.37566666666666
91,504.6243333333333,956.6243333333333,-50.37566666666667
92,335.6243333333333,1050.6243333333334,425.6243333333333
93,533.6243333333333,795.6243333333333,-77.37566666666666
94,1.6243333333333325,838.6243333333333,-38.37566666666667
95,-58.37566666666667,184.62433333333334,184.62433333333334
96,252.62433333333334,895.6243333333333,895.6243333333333
97,62.62433333333333,304.6243333333333,-180.37566666666666
98,822.1707777777777,1037.1707777777779,1037.1707777777779
99,39.17077777777778,637.1707777777777,-237.82922222222223
100,-220.82922222222223,85.17077777777777,85.17077777777777
101,-1395.8292222222221,-1182.8292222222221,-1529.8292222222221
102,258.1707777777778,860.1707777777777,365.1707777777778
103,-618.8292222222223,61.17077777777778,-288.8292222222222
104,-28.82922222222222,173.17077777777777,-9.829222222222223
105,43.17077777777778,1615.1707777777779,1615.1707777777779
106,-470.8292222222222,395.1707777777778,-191.82922222222223
107,-789.8292222222223,-51.82922222222222,-549.8292222222223
108,510.1707777777778,1045.1707777777779,1045.1707777777779
109,-520.8292222222223,144.17077777777777,-360.8292222222222
110,-508.8292222222222,233.17077777777777,233.17077777777777
111,24.17077777777778,1046.1707777777779,-294.8292222222222
112,-219.82922222222223,302.1707777777778,-4.8292222222222225
113,-624.8292222222223,280.1707777777778,-408.8292222222222
114,-810.8292222222223,-623.8292222222223,-623.8292222222223
115,1167.1707777777779,1647.1707777777779,1647.1707777777779
116,-1031.8292222222221,-380.8292222222222,-1004.8292222222223
117,461.1707777777778,536.1707777777777,536.1707777777777
118,-881.8292222222223,20.17077777777778,20.17077777777778
119,-492.8292222222222,56.17077777777778,-594.8292222222223
120,32.17077777777778,151.17077777777777,151.17077777777777
121,-323.8292222222222,44.17077777777778,44.17077777777778
122,-502.8292222222222,445.1707777777778,445.1707777777778
123,144.17077777777777,831.1707777777777,831.1707777777777
124,-737.8292222222223,-482.8292222222222,-974.8292222222223
125,-379.8292222222222,167.17077777777777,-20.82922222222222
126,-140.82922222222223,1159.1707777777779,663.1707777777777
127,-1605.8292222222221,-984.8292222222223,-984.8292222222223
128,-238.82922222222223,421.1707777777778,-523.8292222222223
129,491.1707777777778,1161.1707777777779,534.1707777777777
130,-1710.8292222222221,-379.8292222222222,-948.8292222222223
131,-471.8292222222222,1945.1707777777779,1727.1707777777779
132,894.1707777777777,1207.1707777777779,1010.1707777777777
133,598.1707777777777,2177.170777777778,1218.1707777777779
134,1358.1707777777779,2117.170777777778,1428.1707777777779
135,-2319.829222222222,-1795.8292222222221,-1795.8292222222221
136,-978.8292222222223,-420.8292222222222,-448.8292222222222
137,-25.82922222222222,2.170777777777778,-0.8292222222222221
138,442.1707777777778,719.1707777777777,600.1707777777777
139,109.17077777777777,700.1707777777777,174.17077777777777
140,217.17077777777777,697.1707777777777,697.1707777777777
141,-1106.8292222222221,2122.170777777778,2122.170777777778
142,-659.8292222222223,271.1707777777778,-346.8292222222222
143,36.17077777777778,605.1707777777777,163.17077777777777
144,-485.8292222222222,559.1707777777777,80.17077777777777
145,66.17077777777777,569.1707777777777,-58.82922222222222
146,-302.8292222222222,228.17077777777777,-146.82922222222223
147,67.17077777777777,475.1707777777778,101.17077777777777
